,Incident_Address_Street_Number,Incident_Address_Street_Name,Incident_Address,Incident_Address_Zip,Incident_Address_Borough,Complaint_Type_311,Descriptor_1_311,Date_Received,Latitude,Longitude,NTA,UHF_42
6310,1136,OGDEN AVENUE,1136 OGDEN AVENUE,10452,Bronx,Indoor Air Quality,Dust from Construction,2014-09-13,40.836352000000005,-73.92743399999999,Highbridge,high bridge - morrisania
6318,65-08,MYRTLE AVENUE,65-08 MYRTLE AVENUE,11385,Queens,Indoor Air Quality,Dust from Construction,2010-07-02,40.701165,-73.889983,Glendale,ridgewood -forest hills
6331,582,39 STREET,582 39 STREET,11232,Brooklyn,Indoor Air Quality,Dust from Construction,2014-09-15,40.650283,-74.002296,Sunset Park East,sunset park
6334,119,CHRISTOPHER STREET,119 CHRISTOPHER STREET,10014,Manhattan,Indoor Air Quality,Dust from Construction,2014-09-16,40.7332,-74.005586,West Village,greenwich village - soho
6340,344,WEST 72 STREET,344 WEST 72 STREET,10023,Manhattan,Indoor Air Quality,Dust from Construction,2014-09-16,40.780406,-73.98594,Lincoln Square,upper west side
6341,1500,PELHAM PARKWAY SOUTH,1500 PELHAM PARKWAY SOUTH,10461,Bronx,Indoor Air Quality,Dust from Construction,2011-08-11,40.857026,-73.843125,Pelham Parkway,pelham - throgs neck
6347,166,2 AVENUE,166 2 AVENUE,10003,Manhattan,Indoor Air Quality,Dust from Construction,2014-09-17,40.730073,-73.98658499999999,East Village,union square - lower east side
6365,133,CONCORD STREET,133 CONCORD STREET,11201,Brooklyn,Indoor Air Quality,Dust from Construction,2014-09-18,40.697663,-73.986148,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,downtown - heights - slope
6369,945,79 STREET,945 79 STREET,11228,Brooklyn,Indoor Air Quality,Dust from Construction,2014-09-08,40.622878,-74.01782800000001,Dyker Heights,bensonhurst - bay ridge
6382,119,CHRISTOPHER STREET,119 CHRISTOPHER STREET,10014,Manhattan,Indoor Air Quality,Dust from Construction,2014-09-19,40.7332,-74.005586,West Village,greenwich village - soho
6400,161,EAST 32 STREET,161 EAST 32 STREET,10016,Manhattan,Indoor Air Quality,Dust from Construction,2014-09-21,40.744842,-73.97998199999999,Murray Hill-Kips Bay,gramercy park - murray hill
6421,872,WOODWARD AVENUE,872 WOODWARD AVENUE,11385,Queens,Indoor Air Quality,Dust from Construction,2012-11-21,40.702723999999996,-73.902019,Ridgewood,ridgewood -forest hills
6438,1691,BROADWAY,1691 BROADWAY,10019,Manhattan,Indoor Air Quality,Dust from Construction,2013-08-09,40.763523,-73.982748,Midtown-Midtown South,chelsea - clinton
6445,2756,CRESTON AVENUE,2756 CRESTON AVENUE,10468,Bronx,Indoor Air Quality,Dust from Construction,2014-09-24,40.869417999999996,-73.893194,Van Cortlandt Village,fordham - bronx pk
6448,248,MELROSE STREET,248 MELROSE STREET,11206,Brooklyn,Indoor Air Quality,Dust from Construction,2014-09-25,40.701721,-73.929983,Bushwick South,williamsburg - bushwick
6449,43-60,DOUGLASTON PARKWAY,43-60 DOUGLASTON PARKWAY,11363,Queens,Indoor Air Quality,Dust from Construction,2014-09-25,40.766788,-73.746057,Douglas Manor-Douglaston-Little Neck,bayside - littleneck
6452,218,WEST 22 STREET,218 WEST 22 STREET,10011,Manhattan,Indoor Air Quality,Dust from Construction,2014-09-25,40.743718,-73.99682800000001,Hudson Yards-Chelsea-Flatiron-Union Square,chelsea - clinton
6457,5,SAINT JAMES PLACE,5 SAINT JAMES PLACE,10038,Manhattan,Indoor Air Quality,Dust from Construction,2014-09-26,40.711206,-74.000274,Chinatown,lower manhattan
6458,549,ACADEMY STREET,549 ACADEMY STREET,10034,Manhattan,Indoor Air Quality,Dust from Construction,2014-09-26,40.863057,-73.92289699999999,Marble Hill-Inwood,washington heights
6475,445,AVENUE OF THE AMERICAS,445 AVENUE OF THE AMERICAS,10011,Manhattan,Indoor Air Quality,Dust from Construction,2014-09-27,40.734825,-73.99869699999999,West Village,chelsea - clinton
6503,633,WILSON AVENUE,633 WILSON AVENUE,11207,Brooklyn,Indoor Air Quality,Dust from Construction,2014-09-30,40.689564000000004,-73.906124,Bushwick North,east new york
6504,59,EAST 7 STREET,59 EAST 7 STREET,10003,Manhattan,Indoor Air Quality,Dust from Construction,2014-09-30,40.727633000000004,-73.987282,East Village,union square - lower east side
6528,110-11,QUEENS BOULEVARD,110-11 QUEENS BOULEVARD,11375,Queens,Indoor Air Quality,Dust from Construction,2014-10-02,40.719923,-73.84050699999999,Forest Hills,ridgewood -forest hills
6530,93-04C,37 AVENUE,93-04C 37 AVENUE,11372,Queens,Indoor Air Quality,Dust from Construction,2014-10-02,40.750832,-73.87392,Jackson Heights,west queens
6536,1209,HERKIMER STREET,1209 HERKIMER STREET,11233,Brooklyn,Indoor Air Quality,Dust from Construction,2014-10-02,40.677668,-73.913344,Ocean Hill,bedford stuyvesant - crown heights
6537,3100,BRIGHTON 7 STREET,3100 BRIGHTON 7 STREET,11235,Brooklyn,Indoor Air Quality,Dust from Construction,2014-10-02,40.577292,-73.960528,Brighton Beach,coney island - sheepshead bay
6538,694,LINCOLN PLACE,694 LINCOLN PLACE,11216,Brooklyn,Indoor Air Quality,Dust from Construction,2014-10-02,40.670915,-73.95365600000001,Crown Heights North,bedford stuyvesant - crown heights
