,Incident_Address_Street_Number,Incident_Address_Street_Name,Incident_Address,Incident_Address_Zip,Incident_Address_Borough,Complaint_Type_311,Descriptor_1_311,Date_Received,Latitude,Longitude,NTA,UHF_42
43337,279,FORDHAM PLACE,279 FORDHAM PLACE,10464,Bronx,Mold,Public Complaint - Comm Location,2020-06-23,40.847049,-73.783695,Pelham Bay-Country Club-City Island,pelham - throgs neck
43346,2818,CHURCH AVENUE,2818 CHURCH AVENUE,11226,Brooklyn,Mold,Public Complaint - Comm Location,2020-06-24,40.650726,-73.950992,Erasmus,east flatbush - flatbush
43351,107-50,QUEENS BOULEVARD,107-50 QUEENS BOULEVARD,11375,Queens,Mold,Public Complaint - Comm Location,2011-05-25,40.721641,-73.84444599999999,Forest Hills,ridgewood -forest hills
43352,902,2 AVENUE,902 2 AVENUE,10017,Manhattan,Mold,Workplace - 10 or Less Staff,2012-04-26,40.753716,-73.969353,Turtle Bay-East Midtown,gramercy park - murray hill
43368,538,WEST   29 STREET,538 WEST   29 STREET,10001,Manhattan,Mold,Public Complaint - Comm Location,2020-06-25,40.752067,-74.002931,Hudson Yards-Chelsea-Flatiron-Union Square,chelsea - clinton
43406,1509,FOREST AVENUE,1509 FOREST AVENUE,10302,Staten Island,Mold,Public Complaint - Comm Location,2020-06-26,40.624322,-74.13886,Port Richmond,port richmond
43460,2260,VICTORY BOULEVARD,2260 VICTORY BOULEVARD,10314,Staten Island,Mold,Workplace - 10 or Less Staff,2011-09-15,40.611775,-74.13873000000001,Westerleigh,willowbrook
43488,691,GERARD AVENUE,691 GERARD AVENUE,10451,Bronx,Mold,Public Complaint - Comm Location,2013-01-30,40.823498,-73.927307,West Concourse,high bridge - morrisania
43530,250,WEST 77 STREET,250 WEST 77 STREET,10024,Manhattan,Mold,Public Complaint - Comm Location,2012-12-01,40.782656,-73.98127,Upper West Side,upper west side
43649,2500,ADAM CLAYTON POWELL BOULEVARD,2500 ADAM CLAYTON POWELL BOULEVARD,10039,Manhattan,Mold,Public Complaint - Comm Location,2013-09-11,40.821743,-73.939012,Central Harlem North-Polo Grounds,central harlem - morningside heights
