,Incident_Address_Street_Number,Incident_Address_Street_Name,Incident_Address,Incident_Address_Zip,Incident_Address_Borough,Complaint_Type_311,Descriptor_1_311,Date_Received,Latitude,Longitude,NTA,UHF_42
7402,803,LOGAN STREET,803 LOGAN STREET,11208,Brooklyn,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-26,40.66666,-73.872929,East New York,east new york
7406,21,EAST 1 STREET,21 EAST 1 STREET,10003,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-26,40.724385999999996,-73.99110999999999,East Village,union square - lower east side
7410,68,THAYER STREET,68 THAYER STREET,10040,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-27,40.86381,-73.92730300000001,Washington Heights North,washington heights
7411,68,THAYER STREET,68 THAYER STREET,10040,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-27,40.86381,-73.92730300000001,Washington Heights North,washington heights
7412,881,EAST 162 STREET,881 EAST 162 STREET,10459,Bronx,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-27,40.821271,-73.89972,Longwood,hunts point - mott haven
7417,68,THAYER STREET,68 THAYER STREET,10040,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-28,40.86381,-73.92730300000001,Washington Heights North,washington heights
7418,541,WEST 142 STREET,541 WEST 142 STREET,10031,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-28,40.823974,-73.95055,Hamilton Heights,washington heights
7419,68,THAYER STREET,68 THAYER STREET,10040,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-28,40.86381,-73.92730300000001,Washington Heights North,washington heights
7422,824,EAST 181 STREET,824 EAST 181 STREET,10460,Bronx,Indoor Air Quality,Chemical Vapors/Gases/Odors,2011-02-04,40.847054,-73.884364,East Tremont,crotona -tremont
7423,5,EAST 22 STREET,5 EAST 22 STREET,10010,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2011-04-28,40.740426,-73.988976,Hudson Yards-Chelsea-Flatiron-Union Square,gramercy park - murray hill
7424,392,THIRD STREET,392 THIRD STREET,11215,Brooklyn,Indoor Air Quality,Chemical Vapors/Gases/Odors,2011-09-02,40.672336,-73.982354,Park Slope-Gowanus,downtown - heights - slope
7429,68,THAYER STREET,68 THAYER STREET,10040,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2013-09-02,40.86381,-73.92730300000001,Washington Heights North,washington heights
7430,321,WEST 54 STREET,321 WEST 54 STREET,10019,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-29,40.765147999999996,-73.985109,Clinton,chelsea - clinton
7431,321,WEST 54 STREET,321 WEST 54 STREET,10019,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-29,40.765147999999996,-73.985109,Clinton,chelsea - clinton
7434,68,THAYER STREET,68 THAYER STREET,10040,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-29,40.86381,-73.92730300000001,Washington Heights North,washington heights
7436,235,WEST 75 STREET,235 WEST 75 STREET,10023,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-29,40.781248,-73.98181899999999,Upper West Side,upper west side
7437,160-10,SANFORD AVENUE,160-10 SANFORD AVENUE,11358,Queens,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-29,40.760569,-73.805637,East Flushing,flushing - clearview
7438,541,WEST 142 STREET,541 WEST 142 STREET,10031,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-29,40.823974,-73.95055,Hamilton Heights,washington heights
7439,622,WEST 136 STREET,622 WEST 136 STREET,10031,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-30,40.821071999999994,-73.955321,Manhattanville,washington heights
7442,885,WEST END AVENUE,885 WEST END AVENUE,10025,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2011-11-07,40.799859999999995,-73.969859,Upper West Side,upper west side
7443,2578,EAST TREMONT AVENUE,2578 EAST TREMONT AVENUE,10461,Bronx,Indoor Air Quality,Chemical Vapors/Gases/Odors,2012-03-04,40.843106,-73.847668,Van Nest-Morris Park-Westchester Square,pelham - throgs neck
7448,68,THAYER STREET,68 THAYER STREET,10040,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-30,40.86381,-73.92730300000001,Washington Heights North,washington heights
7449,770,NEW YORK AVENUE,770 NEW YORK AVENUE,11203,Brooklyn,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-30,40.655021999999995,-73.94711099999999,Erasmus,east flatbush - flatbush
7450,68,THAYER STREET,68 THAYER STREET,10040,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-30,40.86381,-73.92730300000001,Washington Heights North,washington heights
7451,206,WEST 104 STREET,206 WEST 104 STREET,10025,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-30,40.799289,-73.967053,Upper West Side,upper west side
7452,68,THAYER STREET,68 THAYER STREET,10040,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-30,40.86381,-73.92730300000001,Washington Heights North,washington heights
7453,636,WEST 138 STREET,636 WEST 138 STREET,10031,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-30,40.822384,-73.954562,Manhattanville,washington heights
7454,68,THAYER STREET,68 THAYER STREET,10040,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-30,40.86381,-73.92730300000001,Washington Heights North,washington heights
7455,68,THAYER STREET,68 THAYER STREET,10040,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-12-01,40.86381,-73.92730300000001,Washington Heights North,washington heights
