,Incident_Address_Street_Number,Incident_Address_Street_Name,Incident_Address,Incident_Address_Zip,Incident_Address_Borough,Complaint_Type_311,Descriptor_1_311,Date_Received,Latitude,Longitude,NTA,UHF_42
57349,746,SHEFFIELD AVENUE,746 SHEFFIELD AVENUE,11207,Brooklyn,Indoor Sewage,Sewage Leak,2019-04-01,40.659057000000004,-73.892089,East New York,east new york
57375,334,MARINE AVENUE,334 MARINE AVENUE,11209,Brooklyn,Indoor Sewage,Sewage Leak,2018-10-23,40.614431,-74.03351500000001,Bay Ridge,bensonhurst - bay ridge
57390,83-06,133 AVENUE,83-06 133 AVENUE,11417,Queens,Indoor Sewage,Sewage Leak,2018-11-29,40.67391,-73.85301899999999,Ozone Park,southwest queens
57394,1020,WOODYCREST AVENUE,1020 WOODYCREST AVENUE,10452,Bronx,Indoor Sewage,Sewage Leak,2018-11-30,40.83305,-73.927662,Highbridge,high bridge - morrisania
57406,3,PARK AVENUE,3 PARK AVENUE,10016,Manhattan,Indoor Sewage,Sewage Leak,2018-10-29,40.746744,-73.981576,Murray Hill-Kips Bay,gramercy park - murray hill
57430,1029,53 STREET,1029 53 STREET,11219,Brooklyn,Indoor Sewage,Sewage Leak,2018-10-21,40.636178,-74.00005,Borough Park,borough park
57439,165,PULASKI STREET,165 PULASKI STREET,11206,Brooklyn,Indoor Sewage,Sewage Leak,2018-11-26,40.692921000000005,-73.944513,Bedford,williamsburg - bushwick
57448,443,HANCOCK STREET,443 HANCOCK STREET,11233,Brooklyn,Indoor Sewage,Sewage Leak,2018-12-08,40.683975,-73.937587,Stuyvesant Heights,bedford stuyvesant - crown heights
57459,716,EAST 216 STREET,716 EAST 216 STREET,10467,Bronx,Indoor Sewage,Sewage Leak,2019-02-06,40.881186,-73.863174,Williamsbridge-Olinville,fordham - bronx pk
57460,2303,BEDFORD AVENUE,2303 BEDFORD AVENUE,11226,Brooklyn,Indoor Sewage,Sewage Leak,2019-03-27,40.647489,-73.955701,Erasmus,east flatbush - flatbush
57476,1487,TELLER AVENUE,1487 TELLER AVENUE,10457,Bronx,Indoor Sewage,Sewage Leak,2019-02-19,40.839443,-73.90894499999999,East Concourse-Concourse Village,crotona -tremont
57480,481,EASTERN PARKWAY,481 EASTERN PARKWAY,11216,Brooklyn,Indoor Sewage,Sewage Leak,2019-05-17,40.66997,-73.952366,Crown Heights North,bedford stuyvesant - crown heights
57481,273,BOWERY,273 BOWERY,10002,Manhattan,Indoor Sewage,Sewage Leak,2018-11-10,40.723628999999995,-73.99278100000001,Chinatown,lower east side
57482,443,HANCOCK STREET,443 HANCOCK STREET,11233,Brooklyn,Indoor Sewage,Sewage Leak,2018-11-25,40.683975,-73.937587,Stuyvesant Heights,bedford stuyvesant - crown heights
